((6480, 92), (6480,), (1621, 92), (1621,))
('iter: ', 42, 0.64959901295496603)
(768, 768, 5648)
('iter: ', 43, 0.64959901295496603)
(784, 784, 5632)
('iter: ', 44, 0.63417643429981496)
(800, 800, 5616)
('iter: ', 45, 0.64219617520049355)
(816, 816, 5600)
('iter: ', 46, 0.64836520666255393)
(832, 832, 5584)
('iter: ', 47, 0.64589759407772984)
(848, 848, 5568)
('iter: ', 48, 0.65391733497840843)
(864, 864, 5552)
('iter: ', 49, 0.65268352868599633)
(880, 880, 5536)
('iter: ', 50, 0.65021591610117213)
(896, 896, 5520)
('iter: ', 51, 0.64651449722393584)
(912, 912, 5504)
('iter: ', 52, 0.65638494756323262)
(928, 928, 5488)
('iter: ', 53, 0.65453423812461442)
(944, 944, 5472)
('iter: ', 54, 0.66070326958667491)
(960, 960, 5456)
('iter: ', 55, 0.65823565700185072)
(976, 976, 5440)
('iter: ', 56, 0.66070326958667491)
(992, 992, 5424)
('iter: ', 57, 0.65823565700185072)
(1008, 1008, 5408)
('iter: ', 58, 0.65206662553979022)
(1024, 1024, 5392)
('iter: ', 59, 0.66008636644046881)
(1040, 1040, 5376)
('iter: ', 60, 0.65700185070943862)
(1056, 1056, 5360)
('iter: ', 61, 0.65083281924737812)
(1072, 1072, 5344)
('iter: ', 62, 0.66687230104873529)
(1088, 1088, 5328)
('iter: ', 63, 0.6637877853177051)
(1104, 1104, 5312)
('iter: ', 64, 0.6650215916101172)
(1120, 1120, 5296)
('iter: ', 65, 0.66132017273288091)
(1136, 1136, 5280)
('iter: ', 66, 0.66132017273288091)
(1152, 1152, 5264)
('iter: ', 67, 0.66933991363355949)
(1168, 1168, 5248)
('iter: ', 68, 0.66440468846391121)
(1184, 1184, 5232)
('iter: ', 69, 0.64774830351634793)
(1200, 1200, 5216)
('iter: ', 70, 0.6637877853177051)
(1216, 1216, 5200)
('iter: ', 71, 0.67057371992597159)
(1232, 1232, 5184)
('iter: ', 72, 0.66193707587908701)
(1248, 1248, 5168)
('iter: ', 73, 0.67735965453423808)
(1264, 1264, 5152)
('iter: ', 74, 0.66255397902529301)
(1280, 1280, 5136)
('iter: ', 75, 0.6687230104873535)
(1296, 1296, 5120)
('iter: ', 76, 0.6699568167797656)
(1312, 1312, 5104)
('iter: ', 77, 0.66687230104873529)
(1328, 1328, 5088)
('iter: ', 78, 0.67427513880320789)
(1344, 1344, 5072)
('iter: ', 79, 0.66933991363355949)
